TAG,CL,CD,NS,NR,SS,SR,SRT,PLT,TAG,Site_name,REGION,,,,,,,
6612,2,3,3,0,3,0,1.2,4,6612,Buckhorn,ORSISL,,,,,,,
6644,2,3,3,1,2,0,1,4,6644,Buckhorn,ORSISL,,,,,,,
6658,2,3,3,1,2,1,1.2,4,6658,Buckhorn,ORSISL,,,,,,,
11443,2,2,2,1,2,1,0.9,4,11443,Buckhorn,ORSISL,,,,,,,
588,2,3,2,0,3,0,1,5,588,Buckhorn,ORSISH,,,,,,,
620,2,3,2,0,2,0,1,5,620,Buckhorn,ORSISH,,,,,,,
657,2,3,3,1,2,1,1,5,657,Buckhorn,ORSISH,,,,,,,
692,1,4,3,0,2,0,2,5,692,Buckhorn,ORSISH,,,,,,,
714,2,3,3,1,3,0,1.2,5,714,Buckhorn,ORSISH,,,,,,,
1594,2,2,1,1,2,1,0,5,1594,Buckhorn,ORSISH,,,,,,,
1623,2,3,3,0,2,0,1.3,5,1623,Buckhorn,ORSISH,,,,,,,
2362,2,3,2,0,2,0,1.2,5,2362,Buckhorn,ORSISH,,,,,,,
2424,2,4,2,1,2,1,1.6,5,2424,Buckhorn,ORSISH,,,,,,,
5566,2,3,3,0,2,1,1,5,5566,Buckhorn,ORSISH,,,,,,,
5606,2,3,3,0,2,0,1.4,5,5606,Buckhorn,ORSISH,,,,,,,
5629,1,3,3,0,3,0,1.4,5,5629,Buckhorn,ORSISH,,,,,,,
5643,1,4,3,0,3,0,2,5,5643,Buckhorn,ORSISH,,,,,,,
5705,2,3,3,0,3,0,1.3,5,5705,Buckhorn,ORSISH,,,,,,,
6355,2,4,3,0,2,0,2.4,5,6355,Buckhorn,ORSISH,,,,,,,
6421,2,3,2,1,2,1,1.3,5,6421,Buckhorn,ORSISH,,,,,,,
6633,1,4,3,0,3,0,1.9,5,6633,Buckhorn,ORSISH,,,,,,,
6635,2,3,3,1,3,0,1.4,5,6635,Buckhorn,ORSISH,,,,,,,
7134,2,4,3,0,3,0,2,5,7134,Buckhorn,ORSISH,,,,,,,
7168,,,,,,,,5,7168,Buckhorn,ORSISH,,,,,,,
1759,2,4,3,0,2,0,2,6,1759,Buckhorn,ORCSTS,,,,,,,
1773,2,4,3,0,2,0,2.2,6,1773,Buckhorn,ORCSTS,,,,,,,
2648,2,3,3,1,3,0,1.2,6,2648,Buckhorn,ORCSTS,,,,,,,
2693,1,4,2,0,2,0,1.8,6,2693,Buckhorn,ORCSTS,,,,,,,
2747,1,4,3,0,3,0,2.7,6,2747,Buckhorn,ORCSTS,,,,,,,
2769,2,4,3,0,3,0,2.7,6,2769,Buckhorn,ORCSTS,,,,,,,
4475,2,4,3,0,2,0,2.5,6,4475,Buckhorn,ORCSTS,,,,,,,
4506,2,4,3,0,2,0,2.1,6,4506,Buckhorn,ORCSTS,,,,,,,
4794,2,3,3,0,2,0,1.4,6,4794,Buckhorn,ORCSTS,,,,,,,
4841,1,4,3,0,2,0,2.4,6,4841,Buckhorn,ORCSTS,,,,,,,
6534,1,3,2,0,2,0,1.9,6,6534,Buckhorn,ORCSTS,,,,,,,
6565,1,4,3,0,3,0,2.8,6,6565,Buckhorn,ORCSTS,,,,,,,
7358,3,1,2,0,2,0,0.4,6,7358,Buckhorn,ORCSTS,,,,,,,
7395,2,4,2,0,2,0,2,6,7395,Buckhorn,ORCSTS,,,,,,,
7430,2,3,3,0,3,0,1.2,6,7430,Buckhorn,ORCSTS,,,,,,,
7461,1,4,3,1,3,0,2.3,6,7461,Buckhorn,ORCSTS,,,,,,,
7497,2,4,2,0,2,0,2.3,6,7497,Buckhorn,ORCSTS,,,,,,,
9037,1,3,3,0,3,0,2.4,6,9037,Buckhorn,ORCSTS,,,,,,,
9315,2,4,3,0,2,0,2,6,9315,Buckhorn,ORCSTS,,,,,,,
9363,1,4,3,0,3,0,2.8,6,9363,Buckhorn,ORCSTS,,,,,,,
24,1,4,0,0,0,0,2,7,24,Buckhorn,ORCASL,,,,,,,
66,2,4,3,0,2,0,2.1,7,66,Buckhorn,ORCASL,,,,,,,
181,2,4,2,0,2,0,2.1,7,181,Buckhorn,ORCASL,,,,,,,
204,1,4,2,0,2,0,2,7,204,Buckhorn,ORCASL,,,,,,,
782,1,3,3,0,3,0,1.6,7,782,Buckhorn,ORCASL,,,,,,,
805,1,4,2,0,3,0,2.7,7,805,Buckhorn,ORCASL,,,,,,,
1108,1,4,3,0,3,0,2.2,7,1108,Buckhorn,ORCASL,,,,,,,
1138,1,4,3,0,3,0,2.1,7,1138,Buckhorn,ORCASL,,,,,,,
1194,1,4,2,0,2,0,2.2,7,1194,Buckhorn,ORCASL,,,,,,,
1242,1,4,2,0,2,0,2,7,1242,Buckhorn,ORCASL,,,,,,,
5034,2,4,3,0,3,0,1.6,7,5034,Buckhorn,ORCASL,,,,,,,
5052,2,4,3,0,3,0,2.2,7,5052,Buckhorn,ORCASL,,,,,,,
5174,1,4,2,0,2,0,1.9,7,5174,Buckhorn,ORCASL,,,,,,,
5210,1,4,3,0,3,0,3.1,7,5210,Buckhorn,ORCASL,,,,,,,
5732,1,4,3,0,2,0,2.3,7,5732,Buckhorn,ORCASL,,,,,,,
5764,1,4,3,0,2,0,2.5,7,5764,Buckhorn,ORCASL,,,,,,,
6008,1,4,3,0,3,0,2.5,7,6008,Buckhorn,ORCASL,,,,,,,
6044,1,3,2,1,2,0,2.2,7,6044,Buckhorn,ORCASL,,,,,,,
6079,1,4,0,0,0,0,2.4,7,6079,Buckhorn,ORCASL,,,,,,,
6086,1,4,3,0,3,0,2.4,7,6086,Buckhorn,ORCASL,,,,,,,
3228,2,3,2,1,2,0,1.1,8,3228,Buckhorn,CASIERRA,,,,,,,
3271,,,,,,,,8,3271,Buckhorn,CASIERRA,,,,,,,
3315,2,2,2,2,3,1,0.9,8,3315,Buckhorn,CASIERRA,,,,,,,
3347,2,2,2,0,2,0,1,8,3347,Buckhorn,CASIERRA,,,,,,,
3390,2,3,3,1,3,1,1.1,8,3390,Buckhorn,CASIERRA,,,,,,,
3442,2,2,1,2,1,1,0.9,8,3442,Buckhorn,CASIERRA,,,,,,,
3483,2,2,2,2,2,2,0.9,8,3483,Buckhorn,CASIERRA,,,,,,,
3487,2,2,2,2,2,2,1,8,3487,Buckhorn,CASIERRA,,,,,,,
3555,2,3,2,1,2,1,1,8,3555,Buckhorn,CASIERRA,,,,,,,
3585,2,3,2,1,2,1,1.1,8,3585,Buckhorn,CASIERRA,,,,,,,
7916,2,2,2,2,3,2,1,8,7916,Buckhorn,CASIERRA,,,,,,,
7971,2,2,2,1,2,1,1,8,7971,Buckhorn,CASIERRA,,,,,,,
7992,2,3,2,2,3,1,1,8,7992,Buckhorn,CASIERRA,,,,,,,
8043,2,2,2,2,3,2,1,8,8043,Buckhorn,CASIERRA,,,,,,,
8067,2,2,2,2,2,1,1.1,8,8067,Buckhorn,CASIERRA,,,,,,,
8093,2,2,2,2,2,2,0.9,8,8093,Buckhorn,CASIERRA,,,,,,,
8163,2,2,2,2,3,1,1,8,8163,Buckhorn,CASIERRA,,,,,,,
8182,2,3,2,1,2,1,1,8,8182,Buckhorn,CASIERRA,,,,,,,
8189,2,2,2,1,2,1,1,8,8189,Buckhorn,CASIERRA,,,,,,,
8226,2,2,2,1,2,1,1,8,8226,Buckhorn,CASIERRA,,,,,,,
3636,2,4,2,0,2,0,2.7,9,3636,Buckhorn,WACST,,,,,,,
3658,1,4,3,0,3,0,2.1,9,3658,Buckhorn,WACST,,,,,,,
3682,1,3,3,0,3,0,1.9,9,3682,Buckhorn,WACST,,,,,,,
3706,1,4,2,0,2,0,2.1,9,3706,Buckhorn,WACST,,,,,,,
4151,2,3,3,0,3,0,1.8,9,4151,Buckhorn,WACST,,,,,,,
4188,2,4,3,0,3,0,1.6,9,4188,Buckhorn,WACST,,,,,,,
4218,2,4,2,0,3,0,2.1,9,4218,Buckhorn,WACST,,,,,,,
4259,2,3,3,0,3,0,1.6,9,4259,Buckhorn,WACST,,,,,,,
4612,1,4,3,0,3,0,2.2,9,4612,Buckhorn,WACST,,,,,,,
4672,1,4,2,0,2,0,2.4,9,4672,Buckhorn,WACST,,,,,,,
8272,2,3,3,0,2,0,1.5,9,8272,Buckhorn,WACST,,,,,,,
8316,2,4,3,0,3,0,2.5,9,8316,Buckhorn,WACST,,,,,,,
8367,1,4,2,0,2,0,2.3,9,8367,Buckhorn,WACST,,,,,,,
8410,2,4,3,0,3,0,2.3,9,8410,Buckhorn,WACST,,,,,,,
8753,2,3,3,0,3,0,1.3,9,8753,Buckhorn,WACST,,,,,,,
8775,2,3,3,0,3,0,1.8,9,8775,Buckhorn,WACST,,,,,,,
8815,2,2,2,1,2,1,1.3,9,8815,Buckhorn,WACST,,,,,,,
8865,1,4,2,0,2,0,2.6,9,8865,Buckhorn,WACST,,,,,,,
9167,1,4,3,0,3,0,2.3,9,9167,Buckhorn,WACST,,,,,,,
9210,1,4,2,0,3,0,2.7,9,9210,Buckhorn,WACST,,,,,,,
